Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Extracellular Matrix Organization	49/300	1.1312810390035658E-11	1.773848669157591E-8	0	0	3.4091077116090465	85.92685090487807	APP;SERPINE1;EFEMP1;CAPN6;CTSL;KDR;TIMP2;EMILIN1;PRSS2;ADAMTS9;FGB;ITGA4;ITGA3;ITGA1;HSPG2;MMP11;MMP14;VCAN;COL2A1;MMP16;CEACAM6;MMP15;COL6A1;ITGA8;CD47;COL17A1;COL15A1;HTRA1;PDGFA;LRP4;FBLN1;FURIN;LTBP1;NID2;THBS1;ADAMTS16;SCUBE3;ADAMTS18;JAM3;CRTAP;TGFB2;COL24A1;LAMB3;LAMB2;BMP4;P4HA1;COL9A3;COL9A2;FBN1
Neuronal System	51/411	7.40734573181072E-8	5.807359053739605E-5	0	0	2.4640688575899845	40.455596433888786	GABRB3;ACHE;GABRB2;KCNC3;GRIK5;SLC6A4;NRGN;DLGAP1;CHRNB2;KCNH5;KCNH6;ABCC8;CACNA2D3;KCNK16;KCNK17;PRKAB1;GJD2;SLC5A7;ARHGEF9;EPB41;MAOA;STXBP1;CACNA1B;CACNA1A;SLC1A3;ADCY8;PPM1E;GNG2;SLITRK2;ERBB4;GNG4;SLITRK6;KCNN3;KCNJ3;KCNJ5;GABBR2;SYT2;HOMER2;KCNB2;GAD2;GNG11;SYT7;PTPRD;LRFN2;DLG2;NBEA;DLG4;SYT10;KCNS3;KRAS;KCNK3
Regulation of IGF Transport and Uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	23/124	3.275927725717378E-7	1.712218224641616E-4	0	0	3.9133731305426975	58.43250955890904	APP;CSF1;GOLM1;LAMB2;APLP2;IGFBP3;KLK13;AFP;F2;PDIA6;LTBP1;PRSS23;F5;BMP4;VCAN;STC2;PENK;GPC3;QSOX1;APOE;IGFBP6;MFGE8;FBN1
Post-translational Protein Phosphorylation	20/107	1.6690912190619012E-6	6.542837578722652E-4	0	0	3.942654585116201	52.45004572353972	APP;CSF1;GOLM1;LAMB2;APLP2;IGFBP3;AFP;PDIA6;LTBP1;PRSS23;F5;BMP4;VCAN;STC2;PENK;GPC3;QSOX1;APOE;MFGE8;FBN1
Degradation of the Extracellular Matrix	23/140	2.9584663619939266E-6	8.968086277274257E-4	0	0	3.3753333176937934	42.97082687793692	COL17A1;COL15A1;LAMB3;HTRA1;FURIN;HSPG2;ADAMTS16;SCUBE3;MMP11;MMP14;COL2A1;CAPN6;MMP16;CTSL;MMP15;ADAMTS18;COL6A1;TIMP2;COL9A3;COL9A2;PRSS2;ADAMTS9;FBN1
TP53 Regulates Transcription of Cell Death Genes	12/44	3.4316656673243333E-6	8.968086277274257E-4	0	0	6.403532608695652	80.57222362768948	PIDD1;STEAP3;CASP6;IGFBP3;TNFRSF10C;TNFRSF10B;BAX;FAS;TNFRSF10A;BID;NDRG1;TNFRSF10D
Signaling by Receptor Tyrosine Kinases	55/536	9.77977761876047E-6	0.002190670186602345	0	0	1.9833111586174734	22.877878605233988	CYFIP2;GABRB3;GABRB2;PTPRU;IRS1;PLAT;AREG;SPRED2;FGF9;AKT3;KDR;ATP6V1E1;TNS3;DUSP4;ITGA3;GAB2;DUSP6;PGF;DNM1;RNF41;TGFBR3;COL2A1;COL6A1;ELMO1;TRIB1;SGK1;TPH1;RALB;PDGFA;FURIN;THBS1;ERBB4;PDGFD;PDGFC;NTF3;POLR2H;APOE;PAK3;NTRK2;EGR2;COL24A1;LAMB3;STAT1;LAMB2;NOS3;FOSL1;DLG4;ID2;FGF19;BAX;SPRY2;COL9A3;KRAS;SPRY1;COL9A2
Regulation of Beta-Cell Development	11/42	1.3423818570647551E-5	0.00263106843984692	0	0	6.0540942928039705	67.91773527957322	KAT2B;ONECUT1;AKT3;PAX4;HNF1B;PAX6;INSM1;NKX6-1;GCK;NKX2-2;NEUROG3
TP53 Regulates Transcription of Death Receptors and Ligands	6/12	2.056909599462505E-5	0.0035835936132857867	0	0	17.00720720720721	183.53703181933722	IGFBP3;TNFRSF10C;FAS;TNFRSF10B;TNFRSF10A;TNFRSF10D
Dissolution of Fibrin Clot	6/13	3.639333859749358E-5	0.0057064754920869935	0	0	14.576833976833976	148.99163934820447	ANXA2;SERPINE1;SERPINF2;PLAT;SERPINB8;S100A10
Regulation of Gene Expression in Endocrine-Committed (NEUROG3+) Progenitor Cells	4/5	4.60802169512152E-5	0.006568525470864129	0	0	67.92446043165468	678.2343525033904	PAX4;INSM1;NEUROG3;NKX2-2
Integrin Cell Surface Interactions	15/85	6.529296863916501E-5	0.008490565700344444	0	0	3.661736084079408	35.28678190468514	FGB;ITGA4;ITGA3;ITGA1;HSPG2;THBS1;COL2A1;COL6A1;KDR;ITGA8;COL9A3;CD47;COL9A2;JAM3;FBN1
Signaling by PDGF	12/58	7.039372072989654E-5	0.008490565700344444	0	0	4.45132325141777	42.56091103835153	COL2A1;STAT1;PDGFD;COL6A1;PDGFC;PDGFA;PLAT;FURIN;COL9A3;KRAS;COL9A2;THBS1
Platelet Degranulation	19/128	8.820445495766263E-5	0.009878898955258215	0	0	2.983323994547264	27.851874522532643	FGB;APP;CD63;TGFB2;HSPA5;APLP2;SERPINE1;SERPINF2;PDGFA;ACTN4;CLU;THBS1;MANF;F5;MMRN1;TMSB4X;PSAP;CD9;QSOX1
Response to Elevated Platelet Cytosolic Ca2+	19/133	1.4836590471301291E-4	0.01550918257266695	0	0	2.851716803403221	25.140247713012428	FGB;APP;CD63;TGFB2;HSPA5;APLP2;SERPINE1;SERPINF2;PDGFA;ACTN4;CLU;THBS1;MANF;F5;MMRN1;TMSB4X;PSAP;CD9;QSOX1
