Gene_ID	control_rep2	control_rep1	exp_rep2	exp_rep1	exp_rep3	control_rep3
gene	count	count	count	count	count	count
ENSG00000290825.1	0	0	3	2	1	0
ENSG00000223972.6	0	0	0	0	0	0
ENSG00000227232.6	169	189	240	193	238	269
ENSG00000278267.1	0	0	0	0	0	0
ENSG00000243485.5	1	2	4	4	1	2
ENSG00000284332.1	0	0	0	0	0	0
ENSG00000237613.2	0	0	0	0	0	0
ENSG00000268020.3	0	0	0	0	0	0
ENSG00000290826.1	0	0	0	0	0	0
ENSG00000240361.3	0	0	0	0	0	0
ENSG00000186092.7	0	0	0	0	0	0
ENSG00000238009.7	15	12	16	14	18	25
ENSG00000239945.1	0	0	0	0	0	0
ENSG00000233750.3	5	3	8	4	2	8
ENSG00000268903.1	45	56	70	54	57	73
ENSG00000269981.1	22	39	41	27	44	48
ENSG00000239906.1	2	2	2	0	1	0
ENSG00000241860.7	17	35	37	34	22	23
ENSG00000222623.1	0	0	0	0	0	0
ENSG00000241599.1	0	0	0	0	0	0
ENSG00000279928.2	0	0	0	0	0	0
ENSG00000279457.4	113	142	198	165	174	196
ENSG00000273874.1	0	0	0	0	0	0
ENSG00000292994.1	35	34	43	45	39	45
ENSG00000228463.11	0	0	0	0	0	0
ENSG00000286448.1	0	0	0	0	0	0
ENSG00000236679.2	0	0	0	0	0	0
ENSG00000236601.2	0	0	0	0	0	0
ENSG00000290385.1	35	36	66	41	26	45
ENSG00000269732.1	0	0	0	0	0	0
ENSG00000284733.2	0	0	0	0	0	0
ENSG00000237094.13	0	0	0	0	0	0
ENSG00000233653.3	0	0	0	0	0	0
ENSG00000250575.1	0	0	0	0	0	0
ENSG00000278757.1	0	0	0	0	0	0
ENSG00000293331.1	69	92	87	107	78	105
ENSG00000235146.2	0	0	0	0	0	0
ENSG00000225972.1	0	0	0	0	0	0
ENSG00000225630.1	0	0	0	0	0	0
ENSG00000237973.1	0	0	0	0	0	0
ENSG00000278791.1	0	0	0	0	0	0
ENSG00000229344.1	0	0	0	0	0	0
ENSG00000240409.1	0	0	0	0	0	0
ENSG00000248527.1	0	0	0	0	0	0
ENSG00000198744.5	0	0	0	0	0	0
ENSG00000268663.1	0	0	0	0	0	0
ENSG00000284662.2	0	0	0	0	0	0
ENSG00000230021.11	0	0	0	0	0	0
ENSG00000229376.3	0	0	0	0	0	0
ENSG00000291215.1	0	0	0	0	0	0
ENSG00000223181.1	0	0	0	0	0	0
